iter	Passed	Remaining
0	144	144374
1	154	77133
2	159	53094
3	170	42556
4	179	35681
5	183	30400
6	190	27011
7	196	24336
8	207	22803
9	210	20887
10	215	19415
11	221	18262
12	225	17145
13	231	16291
14	236	15560
15	242	14929
16	246	14254
17	252	13756
18	258	13331
19	263	12919
20	269	12573
21	274	12210
22	278	11813
23	281	11466
24	285	11147
25	289	10861
26	295	10638
27	299	10389
28	302	10132
29	307	9953
30	316	9889
31	322	9751
32	326	9557
33	328	9336
34	333	9195
35	336	9007
36	340	8855
37	343	8702
38	349	8603
39	354	8507
40	359	8406
41	364	8310
42	369	8223
43	373	8106
44	377	8019
45	387	8035
46	393	7988
47	395	7841
48	397	7719
49	400	7617
50	404	7523
51	409	7456
52	412	7366
53	416	7296
54	418	7195
55	423	7133
56	425	7035
57	427	6946
58	430	6862
59	433	6789
60	436	6720
61	439	6653
62	442	6575
63	443	6491
64	445	6410
65	447	6331
66	449	6254
67	450	6179
68	452	6105
69	454	6042
70	457	5992
71	460	5935
72	462	5876
73	464	5818
74	467	5766
75	469	5713
76	472	5667
77	475	5615
78	477	5569
79	480	5530
80	482	5479
81	484	5429
82	486	5376
83	487	5316
84	488	5263
85	490	5212
86	492	5170
87	508	5271
88	511	5236
89	514	5206
90	516	5164
91	519	5123
92	537	5245
93	540	5211
94	542	5170
95	544	5129
96	547	5096
97	549	5054
98	550	5011
99	554	4987
100	555	4945
101	557	4906
102	558	4860
103	559	4820
104	561	4785
105	563	4748
106	564	4710
107	567	4683
108	569	4653
109	571	4624
110	574	4598
111	595	4720
112	604	4745
113	611	4751
114	619	4770
115	622	4743
116	627	4736
117	630	4713
118	634	4695
119	639	4689
120	642	4667
121	646	4655
122	648	4624
123	654	4622
124	659	4617
125	667	4628
126	673	4628
127	675	4605
128	680	4595
129	684	4578
130	708	4696
131	713	4691
132	716	4670
133	718	4646
134	720	4617
135	723	4596
136	725	4570
137	727	4545
138	738	4575
139	740	4546
140	742	4523
141	745	4501
142	746	4476
143	750	4458
144	752	4434
145	753	4410
146	756	4392
147	758	4367
148	762	4353
149	764	4333
150	766	4312
151	771	4305
152	774	4289
153	776	4266
154	778	4242
155	780	4223
156	787	4229
157	789	4207
158	791	4183
159	793	4163
160	795	4143
161	796	4120
162	798	4098
163	800	4083
164	802	4060
165	803	4038
166	805	4019
167	807	3999
168	808	3975
169	809	3954
170	812	3937
171	814	3919
172	815	3898
173	816	3877
174	819	3862
175	821	3844
176	822	3824
177	824	3806
178	834	3827
179	835	3808
180	837	3789
181	839	3774
182	841	3758
183	843	3739
184	854	3762
185	855	3746
186	858	3732
187	861	3719
188	863	3704
189	866	3693
190	868	3678
191	870	3661
192	873	3650
193	875	3638
194	879	3629
195	881	3615
196	884	3603
197	887	3594
198	890	3584
199	894	3577
200	898	3569
201	901	3559
202	904	3549
203	907	3540
204	909	3527
205	913	3521
206	916	3509
207	919	3502
208	922	3492
209	926	3485
210	929	3474
211	932	3465
212	935	3454
213	938	3448
214	941	3438
215	945	3430
216	947	3420
217	950	3410
218	953	3401
219	956	3390
220	959	3381
221	961	3369
222	964	3360
223	966	3349
224	968	3336
225	971	3327
226	973	3315
227	976	3305
228	994	3346
229	999	3345
230	1003	3341
231	1011	3348
232	1017	3348
233	1021	3343
234	1026	3343
235	1031	3339
236	1036	3338
237	1041	3335
238	1047	3335
239	1052	3333
240	1055	3324
241	1059	3318
242	1063	3311
243	1066	3304
244	1069	3295
245	1073	3288
246	1075	3280
247	1079	3273
248	1083	3266
249	1086	3258
250	1089	3252
251	1092	3243
252	1095	3235
253	1098	3227
254	1101	3219
255	1106	3215
256	1109	3207
257	1112	3199
258	1114	3188
259	1117	3180
260	1120	3171
261	1123	3165
262	1126	3157
263	1129	3148
264	1132	3140
265	1135	3132
266	1137	3123
267	1140	3116
268	1145	3112
269	1148	3105
270	1151	3097
271	1155	3091
272	1157	3083
273	1161	3077
274	1173	3094
